product,category,unit_price,sale,customer,date
Vertex Ergo Mouse,Peripherals,55.01,55.01,CUST-41002,2026-02-23
Aurora Wireless Earbuds,Audio,84.81,84.81,CUST-41013,2026-02-24
Vertex Ergo Mouse,Peripherals,56.20,56.20,CUST-41007,2026-02-04
Halo Conference Webcam,Video,180.79,180.79,CUST-41008,2026-02-05
Cobalt 100W Charger,Accessories,65.71,65.71,CUST-41041,2026-02-15
Lumen Portable Monitor,Displays,256.89,256.89,CUST-41010,2026-02-08
Vertex Ergo Mouse,Peripherals,59.47,178.41,CUST-41050,2026-02-11
Cobalt 100W Charger,Accessories,62.38,62.38,CUST-41010,2026-02-23
Vertex Mechanical Keyboard,Peripherals,133.91,133.91,CUST-41041,2026-02-21
Cobalt 100W Charger,Accessories,67.16,67.16,CUST-41057,2026-02-01
Vertex Mechanical Keyboard,Peripherals,143.47,286.94,CUST-41024,2026-02-09
Cobalt USB-C Dock,Accessories,176.32,352.64,CUST-41029,2026-02-16
Vertex Mechanical Keyboard,Peripherals,130.54,130.54,CUST-41010,2026-02-18
Aurora Wireless Earbuds,Audio,90.82,90.82,CUST-41019,2026-02-27
Aurora Wireless Earbuds,Audio,88.38,88.38,CUST-41025,2026-02-25
Slate Laptop Stand,Accessories,46.92,46.92,CUST-41049,2026-02-14
"Lumen 27"" 4K Monitor",Displays,428.27,428.27,CUST-41003,2026-02-14
Aurora Wireless Earbuds,Audio,90.05,90.05,CUST-41011,2026-02-16
Vertex Ergo Mouse,Peripherals,59.54,59.54,CUST-41036,2026-02-06
Slate Laptop Stand,Accessories,49.22,295.32,CUST-41022,2026-02-12
"Lumen 27"" 4K Monitor",Displays,391.73,391.73,CUST-41044,2026-02-04
Nimbus Noise-Cancelling Headset,Audio,203.19,203.19,CUST-41000,2026-02-24
Vertex Ergo Mouse,Peripherals,57.11,57.11,CUST-41048,2026-02-18
Vertex Ergo Mouse,Peripherals,58.76,235.04,CUST-41023,2026-02-24
Cobalt USB-C Dock,Accessories,170.37,1022.22,CUST-41047,2026-02-17
Cobalt 100W Charger,Accessories,71.66,71.66,CUST-41050,2026-02-10
Lumen Portable Monitor,Displays,252.04,252.04,CUST-41031,2026-02-09
Vertex Ergo Mouse,Peripherals,57.38,57.38,CUST-41061,2026-02-27
Cobalt USB-C Dock,Accessories,181.15,362.30,CUST-41003,2026-02-01
"Lumen 27"" 4K Monitor",Displays,393.22,393.22,CUST-41034,2026-02-18
